?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/FBcv_0000525>	"A chemical entity is a physical entity of interest in chemistry including molecular entities, parts thereof, and chemical substances (from CHEBI)."	
<http://purl.obolibrary.org/obo/CHEBI_24727>	"Any member of the class of  naphthalenes that is naphthalene carrying one or more hydroxy groups."	
<http://purl.obolibrary.org/obo/FBcv_0000487>	"Mutation caused by hybrid dysgenesis that results from the action of the P-element."	
<http://purl.obolibrary.org/obo/FBcv_0007549>	"Phenotype that is a decrease in any kind of rate (e.g. speed, frequency) of larval locomotory behavior (GO:0008345). 'larval locomotory behavior' is defined as: 'Locomotory behavior in a larval (immature) organism.'."	
<http://purl.obolibrary.org/obo/FBcv_0000666>		
<http://purl.obolibrary.org/obo/CHEBI_24062>		
<http://purl.obolibrary.org/obo/CHEBI_25357>	"A family of aziridine-containing natural products isolated from Streptomyces caespitosus or Streptomyces lavendulae."	"Wikipedia:Mitomycin"
<http://purl.obolibrary.org/obo/FBcv_0000799>		
<http://purl.obolibrary.org/obo/FBcv_0007025>	"Sequence that forms all or part of the gene product encoded by a transgenic locus or modified endogenous locus and that confers a specific property that can be used to facilitate the detection of a specific cell population by an experimental method."	
<http://purl.obolibrary.org/obo/FBcv_0000573>	"No definition for CHEBI:27666."	
<http://purl.obolibrary.org/obo/FBcv_0000282>	"Rank that describes the usefulness of mutants according to their phenotype."	
<http://purl.obolibrary.org/obo/FBcv_0000510>	"The radioactive isotope of phosphorus with relative atomic mass 31.973907 and half-life of 14.26 days (from CHEBI)."	
<http://purl.obolibrary.org/obo/CHEBI_24060>		
<http://purl.obolibrary.org/obo/CHEBI_38738>	"Any methoxyflavanone that is flavanone substituted by a methoxy group."	
<http://purl.obolibrary.org/obo/CHEBI_50904>	"A chemical compound, or part thereof, which causes the onset of an allergic reaction by interacting with any of the molecular pathways involved in an allergy."	"Wikipedia:Allergen"
<http://purl.obolibrary.org/obo/FBcv_0002051>	"A phenotype of a population that is the death of some significant number of animals in that population as immature adults (after eclosion but before the end of adult stage A3 (FBdv:00006012))."	
<http://purl.obolibrary.org/obo/FBcv_0002023>	"A phenotype of a population that is the death of a significant proportion of animals in that population during the larval stage."	
<http://purl.obolibrary.org/obo/FBcv_0000189>	"A publicly available document. It includes individual articles, such as research papers and reviews, and collections of articles, such as scientific journals."	
<http://purl.obolibrary.org/obo/FBcv_0003002>	"Contrary to expectation, does not make a condition better."	
<http://purl.obolibrary.org/obo/FBcv_0000422>	"Phenotype that is any abnormality in entrainment of circadian clock by photoperiod (GO:0043153), which is defined as: 'The synchronization of a circadian rhythm to photoperiod, the intermittent cycle of light (day) and dark (night).'"	
<http://purl.obolibrary.org/obo/CHEBI_25704>	"Compounds of the general formula SO3HOR where R is an organyl group"	
<http://purl.obolibrary.org/obo/FBcv_0003113>	"A collection of transgenic constructs that are available as fly stocks."	
<http://purl.obolibrary.org/obo/CHEBI_33579>	"A molecular entity containing one or more atoms from any of groups 1, 2, 13, 14, 15, 16, 17, and 18 of the periodic table."	
<http://purl.obolibrary.org/obo/CHEBI_78433>	"A substance used in a thermodynamic heat pump cycle or refrigeration cycle that undergoes a phase change from a gas to a liquid and back. Refrigerants are used in air-conditioning systems and freezers or refrigerators and are assigned a \"R\" number (by ASHRAE - formerly the American Society of Heating, Refrigerating and Air Conditioning Engineers), which is determined systematically according to their molecular structure."	"Wikipedia:Refrigerant"
<http://purl.obolibrary.org/obo/FBcv_0000538>	"No definition for CHEBI:13941."	
<http://purl.obolibrary.org/obo/CHEBI_24061>		"WebElements:F"
<http://purl.obolibrary.org/obo/CHEBI_26373>		
<http://purl.obolibrary.org/obo/CHEBI_132124>	"Any member of the class of benzoquinones that is 1,4-benzoquinone or its C-substituted derivatives."	
<http://purl.obolibrary.org/obo/FBcv_0007061>	"Catalytically inactive fragment of a recombinase that can be used to reconstitute a functional recombinase when brought together in vivo with a complementary split recombinase fragment, where the process that brings the complementary fragments together can be regulated in response to a particular stimulus."	
<http://purl.obolibrary.org/obo/FBcv_0000670>	"Phenotype that is any abnormality in eclosion (GO:0007562). 'eclosion' is defined as: 'The emergence of an adult insect from a pupa case.'"	
<http://purl.obolibrary.org/obo/FBcv_0003031>	"A project that characterizes an organism's genome sequence."	
<http://purl.obolibrary.org/obo/CHEBI_37699>	"An EC 2.7.* (P-containing group transferase) inhibitor that interferes with the action of protein kinases."	
<http://purl.obolibrary.org/obo/CHEBI_37445>	"A group of heterocyclic compounds based on the pteroic acid skeleton conjugated with one or more L-glutamic acid units."	
<http://purl.obolibrary.org/obo/CHEBI_18274>		"KEGG:C03216 KEGG:C02269"
<http://purl.obolibrary.org/obo/CHEBI_38702>		
<http://purl.obolibrary.org/obo/FBcv_0000749>	"An allele that at high temperatures but not low temperatures, either makes a normally functioning gene product but at higher levels or in a different spatial or temporal pattern to wild-type, or a product with increased or novel activity compared to wild-type."	
<http://purl.obolibrary.org/obo/FBcv_0000262>	"Publication in the Korean language."	
<http://purl.obolibrary.org/obo/CHEBI_33248>	"A univalent group formed by removing a hydrogen atom from a hydrocarbon."	
<http://purl.obolibrary.org/obo/FBcv_0007019>	"Sequence that forms all or part of the gene product encoded by a transgenic locus or modified endogenous locus and that is used to provide a readout of the activity of a specific signal transduction pathway."	
<http://purl.obolibrary.org/obo/FBcv_0000317>		
<http://purl.obolibrary.org/obo/FBcv_0003104>	"A result that represents a set of small molecules identified for a given sample."	
<http://purl.obolibrary.org/obo/FBcv_0005049>	"Sequence that forms all or part of the gene product encoded by a transgenic locus or modified endogenous locus and that is used to provide a readout of the redox state of a cell/tissue."	
<http://purl.obolibrary.org/obo/CHEBI_75768>	"Any animal metabolite produced during a metabolic reaction in mammals."	
<http://purl.obolibrary.org/obo/CHEBI_33597>	"A cyclic compound having as ring members atoms of the same element only."	
<http://purl.obolibrary.org/obo/FBcv_0000496>	"Mutation caused by a male recombination event induced by male recombination factor 31.1 MRF which is present in second chromosomes extracted from a population in Patras, Greece."	
<http://purl.obolibrary.org/obo/FBcv_0007515>	"Phenotype that is an increase in the total amount or frequency of feeding behavior (GO:0007631) over a given time interval, compared to wild-type. 'feeding behavior' is defined as: 'Behavior associated with the intake of food.'"	
<http://purl.obolibrary.org/obo/CHEBI_36961>		
<http://purl.obolibrary.org/obo/CHEBI_18310>	"An acyclic branched or unbranched hydrocarbon having the general formula CnH2n+2, and therefore consisting entirely of hydrogen atoms and saturated carbon atoms."	"KEGG:C01371"
<http://purl.obolibrary.org/obo/CHEBI_29347>	"A carboxamide derived from a monocarboxylic acid."	
<http://purl.obolibrary.org/obo/FBcv_0007026>	"Sequence that forms all or part of the gene product encoded by a transgenic locus or modified endogenous locus and confers a specific property that can be used to stochastically label cells in the same sample with different colors of fluorescent protein. This property can be exploited to study cell morphology and to track lineages of clonally related cells."	
<http://purl.obolibrary.org/obo/CHEBI_24852>	"Strictly, a substance intended to kill members of the class Insecta.  In common usage, any substance used for preventing, destroying, repelling or controlling insects."	"Wikipedia:Insecticide"
<http://purl.obolibrary.org/obo/CHEBI_18140>		
<http://purl.obolibrary.org/obo/CHEBI_33670>		
<http://purl.obolibrary.org/obo/FBcv_0003059>	"An assay that characterizes transcriptional regulatory elements using formaldehyde-assisted isolation of regulatory elements (FAIRE) and high-throughput sequencing."	
<http://purl.obolibrary.org/obo/CHEBI_19255>		
<http://purl.obolibrary.org/obo/FBcv_0003023>	"A set of biological data from a single study. Corresponds to the NCBI bioproject, GEO series or SRA study."	
<http://purl.obolibrary.org/obo/CHEBI_35221>	"A substance which is structurally similar to a metabolite but which competes with it or replaces it, and so prevents or reduces its normal utilization."	"Wikipedia:Antimetabolite"
<http://purl.obolibrary.org/obo/CHEBI_60240>	"A metal cation with a valence of two."	
<http://purl.obolibrary.org/obo/FBcv_0007555>	"Phenotype that is a decrease in any kind of rate (e.g. speed, frequency) of copulation (GO:0007620). 'copulation' is defined as: 'The act of sexual union between male and female, involving the transfer of sperm.'."	
<http://purl.obolibrary.org/obo/FBcv_0000748>	"An allele that at some temperatures but not others, either makes a normally functioning gene product but at higher levels or in a different spatial or temporal pattern to wild-type, or a product with increased or novel activity compared to wild-type."	
<http://purl.obolibrary.org/obo/FBcv_0009034>	"Catalytically inactive fragment of a protease that can be used to reconstitute a functional protease when brought together in vivo with a complementary split protease fragment, where the process that brings the complementary fragments together can be regulated by irradiation with a pulse of light."	
<http://purl.obolibrary.org/obo/FBcv_0003148>	"A sample that is derived from a controlled mating between individuals of two specific species."	
<http://purl.obolibrary.org/obo/FBcv_0000063>	"Restricted to lateral region(s) of some specified type."	
<http://purl.obolibrary.org/obo/FBcv_0005041>	"Sequence that forms part of the protein encoded by a transgenic locus or modified endogenous locus and which allows a protein to be inactivated by the chromophore-assisted light inactivation (CALI) technique. The tag consists of a peptide sequence that specifically binds a membrane-permeable, chromophore-containing molecule. When activated using a pulse of high-intensity light that is absorbed by the chromophore but not by cellular components, the membrane-permeable molecule generates short-lived reactive oxygen species which inactivate the tagged protein to which the molecule is bound via the chromophore-assisted light inactivation tag."	
<http://purl.obolibrary.org/obo/CHEBI_15369>	"A large group of antibiotics isolated from various species of Streptomyces and characterised by having a substituted phenoxazine ring linked to two cyclic heterodetic peptides."	"KEGG:C01775"
<http://purl.obolibrary.org/obo/FBcv_0000365>	"A phenotype that is a reduction in the ability to produce fertilized eggs as a result of mating to below 50% of wild-type."	
<http://purl.obolibrary.org/obo/CHEBI_36830>		
<http://purl.obolibrary.org/obo/FBcv_0000194>	"A work consisting of an account of the events, works, and achievements, personal and professional, during a person's life. This class includes articles on the activities and accomplishments of living persons as well as the presentation of an obituary."	"MeSH:D019215"
<http://purl.obolibrary.org/obo/CHEBI_33285>	"A heteroorganic entity is an organic molecular entity in which carbon atoms or organic groups are bonded directly to one or more heteroatoms."	
<http://purl.obolibrary.org/obo/FBcv_0009018>	"An analysis that results from the sequencing of RNAs from multiple highly purified samples."	
<http://purl.obolibrary.org/obo/CHEBI_39418>	"Any saturated fatty acid lacking a side-chain."	
<http://purl.obolibrary.org/obo/CHEBI_61015>	"A poison that interferes with the function of the kidneys."	
<http://purl.obolibrary.org/obo/CHEBI_25384>	"An oxoacid containing a single carboxy group."	
<http://purl.obolibrary.org/obo/CHEBI_35705>	"An agent that suppresses immune function by one of several mechanisms of action. Classical cytotoxic immunosuppressants act by inhibiting DNA synthesis. Others may act through activation of T-cells or by inhibiting the activation of helper cells. In addition, an immunosuppressive agent is a role played by a compound which is exhibited by a capability to diminish the extent and/or voracity of an immune response."	
<http://purl.obolibrary.org/obo/FBcv_0000537>		
<http://purl.obolibrary.org/obo/FBcv_0000721>	"Phenotype that is any abnormality in mating behavior (GO:0007617). 'mating behavior' is defined as: 'The behavioral interactions between organisms for the purpose of mating, or sexual reproduction resulting in the formation of zygotes.'"	
<http://purl.obolibrary.org/obo/FBcv_0000503>	"Mutation induced by exposure to radiation."	
<http://purl.obolibrary.org/obo/CHEBI_14321>	"An alpha-amino-acid anion that is the conjugate base of glutamic acid, having anionic carboxy groups and a cationic amino group"	
<http://purl.obolibrary.org/obo/FBcv_0000287>	"An allele that either makes no functional gene product, makes reduced levels of a normally functioning gene product or makes a gene product with reduced activity compared to wild-type."	
<http://purl.obolibrary.org/obo/FBcv_0005045>	"Sequence that forms all or part of the protein product encoded by a transgenic locus or modified endogenous locus and confers a specific property that facilitates detection of a molecule that is not part of or directly encoded by the genome."	
<http://purl.obolibrary.org/obo/CHEBI_33457>	"A pnictogen oxoacid which contains phosphorus and oxygen, at least one hydrogen atom bound to oxygen, and forms an ion by the loss of one or more protons."	
<http://purl.obolibrary.org/obo/FBcv_0007011>	"Sequence that forms all or part of the gene product encoded by a transgenic locus or modified endogenous locus and that confers a specific property that can be used to stimulate the activity of a neuron, where this property can be regulated by irradiation with a pulse of light."	
<http://purl.obolibrary.org/obo/FBcv_0000698>	"A phenotype that is a disruption in the wild-type pattern of segments or parasegments of the embryo or larva."	
<http://purl.obolibrary.org/obo/FBcv_0002009>	"A phenotype of a population that is the death of all animals in that population during the third instar larval stage."	
<http://purl.obolibrary.org/obo/FBcv_0000447>	"Phenotype characterized by closely associated necrosis and melanization."	
<http://purl.obolibrary.org/obo/FBcv_0000092>	"10-60% of egg length from the posterior tip (0%) of the egg or pre-gastrula embryo."	
<http://purl.obolibrary.org/obo/CHEBI_136859>	"A compound that, on administration, undergoes conversion by biochemical (enzymatic), chemical (possibly following an enzymatic step), or physical (e.g. photochemical) activation processes before becoming the active agent for which it is a pro-agent."	
<http://purl.obolibrary.org/obo/CHEBI_38976>	"A  monocyclic arene that is benzene substituted with one or more alkyl groups."	
<http://purl.obolibrary.org/obo/FBcv_0003188>	"Material that has undergone the depletion of single-stranded RNA."	
<http://purl.obolibrary.org/obo/CHEBI_22527>	"Any purine having at least one amino substituent."	
<http://purl.obolibrary.org/obo/FBcv_0000491>	"Mutation caused by the mobilization of a P-element by the transposase produced from the helper plasmid p pi25.7wc. This plasmid is a P-element from which the 3' terminus has been deleted, making it unable to integrate into the host's DNA. It has an additional 23 base pairs deletion of the 3' terminus compared to p pi25.1."	
<http://purl.obolibrary.org/obo/FBcv_0002027>	"A phenotype of a population that is the death of all animals in that population at some stage or stages before the end of the pupal stage."	
<http://purl.obolibrary.org/obo/FBcv_0000318>		
<http://purl.obolibrary.org/obo/FBcv_0000052>	"Qualifier that describes the spatial characteristics of a phenotype or expression pattern."	
<http://purl.obolibrary.org/obo/FBcv_0007546>	"Phenotype that is a decrease in any kind of rate (e.g. speed, frequency) of grooming behavior (GO:0007625). 'grooming behavior' is defined as: 'The specific behavior of an organism relating to grooming, cleaning and brushing to remove dirt and parasites.'."	
<http://purl.obolibrary.org/obo/CHEBI_77941>	"An EC 3.5.1.* (non-peptide linear amide C-N hydrolase) inhibitor that interferes with the action of amidase (EC 3.5.1.4)."	"Wikipedia:Amidase"
<http://purl.obolibrary.org/obo/CHEBI_79387>	"Any inorganic anion with a valency of three."	
<http://purl.obolibrary.org/obo/FBcv_0005076>	"An enzyme that mediates an exchange reaction between two DNA templates, resulting in integration of DNA from one of the templates into the other. An integrase binds a pair of compatible recognition sites (typically called attP and attB) which each contain a short integration core flanked by imperfect inverted repeats that are not identical. Exchange between the attP/attB pair results in the formation of hybrid sites (typically called attL and attR) that are no longer a substrate of the integrase. Thus the exchange reaction driven by an integrase is unidirectional. Mutually exclusive pairs of recognition site have been engineered for some integrases. Integrases can be used to generate many different types of genetic modification, with the outcome being influenced by the relative orientation (direct or inverted), relative location and composition of the two recognition sites. The types of possible modification include deletion of DNA, generation of chromosomal rearrangements, integration of DNA into the genome, and replacement of genetic material with that from a donor plasmid using recombination-mediated cassette exchange (RMCE)."	
<http://purl.obolibrary.org/obo/FBcv_0000397>	"Phenotype that is any abnormality in learning (GO:0007612). 'learning' is defined as: 'Any process in an organism in which a relatively long-lasting adaptive behavioral change occurs as the result of experience.'"	
<http://purl.obolibrary.org/obo/FBcv_0007526>	"Phenotype that is a decrease in the efficacy of medium-term memory (GO:0072375) relative to controls. 'medium-term memory' is defined as: 'The memory process that deals with the storage, retrieval and modification of information received at a time ago that is intermediate between that of short and long term memory (30min - 7hrs in Drosophila melanogaster).'"	
<http://purl.obolibrary.org/obo/CHEBI_28616>	"A one-carbon compound that is ammonia in which one of the hydrogens is replaced by a carboxy group. Although carbamic acid derivatives are common, carbamic acid itself has never been synthesised."	"Wikipedia:Carbamic_acid DrugBank:DB04261 PDBeChem:OUT KEGG:C01563"
<http://purl.obolibrary.org/obo/CHEBI_38234>	"Any inhibitor of a DNA polymerase."	
<http://purl.obolibrary.org/obo/FBcv_0000730>	"Expression is limited to virgin females."	
<http://purl.obolibrary.org/obo/CHEBI_17883>	"A mononuclear parent hydride consisting of covalently bonded hydrogen and chlorine atoms."	"Wikipedia:HCl MetaCyc:HCL KEGG:D02057 KEGG:C01327 HMDB:HMDB0002306 Wikipedia:Hydrochloric_acid"
<http://purl.obolibrary.org/obo/FBcv_0000536>		
<http://purl.obolibrary.org/obo/FBcv_0000368>	"A phenotype of female sterility due to defects in the female germline."	
<http://purl.obolibrary.org/obo/FBcv_0003051>	"An assay of 5' capped transcripts, using CAGE to biotinylate and isolate the 7-methylguanosine cap, with subsequent characterization by high-throughput sequencing."	
<http://purl.obolibrary.org/obo/CHEBI_48358>	"A solvent with a comparatively high relative permittivity (or dielectric constant), greater than ca. 15, and a sizable permanent dipole moment, that cannot donate suitably labile hydrogen atoms to form strong hydrogen bonds."	
<http://purl.obolibrary.org/obo/CHEBI_33582>		
<http://purl.obolibrary.org/obo/CHEBI_62501>	"The dicarboxylic acid dianion formed from folic acid by loss of a proton from each of the two carboxy groups in the glutamic acid moiety."	
<http://purl.obolibrary.org/obo/CHEBI_33364>		"WebElements:Pt"
<http://purl.obolibrary.org/obo/FBcv_0000466>	"Mutation caused by exposure to a temperature that is higher or lower than 25 degrees Celsius."	
<http://purl.obolibrary.org/obo/BFO_0000002>		
<http://purl.obolibrary.org/obo/FBcv_0000234>	"Qualifier that describes the language of the publication."	
<http://purl.obolibrary.org/obo/FBcv_0000136>	"80-90% of egg length from the posterior tip (0%) of the egg or pre-gastrula embryo."	
<http://purl.obolibrary.org/obo/CHEBI_76924>	"Any eukaryotic metabolite produced during a metabolic reaction in plants, the kingdom that include flowering plants, conifers and other gymnosperms."	
<http://purl.obolibrary.org/obo/FBcv_0002004>	"A phenotype that is an increase in the rate of death in a population at any stage of life (during development or adulthood), over the rate seen in a wild type control population."	
<http://purl.obolibrary.org/obo/CHEBI_35106>		
<http://purl.obolibrary.org/obo/CHEBI_33247>	"Any substituent group or skeleton containing carbon."	
<http://purl.obolibrary.org/obo/FBcv_0010023>		
<http://purl.obolibrary.org/obo/CHEBI_22727>		"Wikipedia:Benzopyran"
<http://purl.obolibrary.org/obo/FBcv_0002041>	"A phenotype of a population that is the death of a significant proportion of animals in that population during the embryonic stage."	
<http://purl.obolibrary.org/obo/CHEBI_25830>	"A quinone in which the two oxo groups of the quinone are located para to each other on the 6-membered quinonoid ring."	
<http://purl.obolibrary.org/obo/FBcv_0000079>	"0-30% of egg length from the posterior tip of the egg or pre-gastrula embryo."	
<http://purl.obolibrary.org/obo/FBcv_0000582>	"A  saturated organic heteromonocyclic parent that is a three-membered heterocycle of two carbon atoms and one oxygen atom (from CHEBI)."	
<http://purl.obolibrary.org/obo/FBcv_0000245>	"Publication in the Dutch language."	
<http://purl.obolibrary.org/obo/FBcv_0000301>	"A phenotypic attribute is described as semidominant when individuals heterozygous for the allele show phenotypes part way between homozygotes for either allele."	
<http://purl.obolibrary.org/obo/FBcv_0000605>	"No definition for CHEBI:27919."	
<http://purl.obolibrary.org/obo/FBcv_0002035>	"A phenotype of a population that is the death of the majority of animals in that population during the prepupal stage."	
<http://purl.obolibrary.org/obo/FBcv_0000812>	"A clone of cells that share a genotype."	
<http://purl.obolibrary.org/obo/CHEBI_24319>	"An EC 6.3.* (C-N bond-forming ligase) inhibitor that interferes with the action of glutamate--ammonia ligase (EC 6.3.1.2)."	"Wikipedia:Glutamine_synthetase"
<http://purl.obolibrary.org/obo/FBcv_0000078>	"0-20% of egg length from the posterior tip of the egg or pre-gastrula embryo."	
<http://purl.obolibrary.org/obo/CHEBI_33860>	"An amino compound in which the amino group is linked directly to an aromatic system."	
<http://purl.obolibrary.org/obo/CHEBI_33581>		
<http://purl.obolibrary.org/obo/CHEBI_36044>	"A substance used in the prophylaxis or therapy of virus diseases."	
<http://purl.obolibrary.org/obo/FBcv_0000553>	"A molecular entity that contains no carbon (from CHEBI)."	
<http://purl.obolibrary.org/obo/CHEBI_33145>		
<http://purl.obolibrary.org/obo/CHEBI_38175>		
<http://purl.obolibrary.org/obo/FBcv_0000081>	"0-50% of egg length from the posterior tip of the egg or pre-gastrula embryo."	
<http://purl.obolibrary.org/obo/CHEBI_52209>	"A role played by the molecular entity or part thereof which causes the development of a pathological process."	
<http://purl.obolibrary.org/obo/FBcv_0000128>	"60-100% of egg length from the posterior tip (0%) of the egg or pre-gastrula embryo."	
<http://purl.obolibrary.org/obo/FBcv_0010022>		
<http://purl.obolibrary.org/obo/CHEBI_33848>	"A polycyclic aromatic hydrocarbon."	"Wikipedia:Polycyclic_aromatic_hydrocarbon"
<http://purl.obolibrary.org/obo/CHEBI_59203>	"A fatty acid anion formed by deprotonation of the carboxylic acid functional group of a straight-chain fatty acid."	
<http://purl.obolibrary.org/obo/FBcv_0000546>	"A member of the class of chloroethanes substituted by two chloro groups at positions 1 and 2 (from CHEBI)."	
<http://purl.obolibrary.org/obo/FBcv_0007528>	"Any abnormality in larval locomotory behavior (GO:0008345), which is defined as 'Locomotory behavior in a larval (immature) organism.'."	
<http://purl.obolibrary.org/obo/CHEBI_61951>	"Any substance that interacts with tubulin to inhibit polymerisation of microtubules."	
<http://purl.obolibrary.org/obo/CHEBI_37141>	"A compound containing at least one carbon-bromine bond."	"MetaCyc:Bromide Wikipedia:Organobromine_compound"
<http://purl.obolibrary.org/obo/FBcv_0000181>		
<http://purl.obolibrary.org/obo/CHEBI_23705>		
<http://purl.obolibrary.org/obo/FBcv_0000515>	"Mutation induced by exposure to deuteron radiation."	
<http://purl.obolibrary.org/obo/CHEBI_27666>		"DrugBank:DB00970 KEGG:C06770 Wikipedia:Dactinomycin KEGG:D00214 LINCS:LSM-5783"
<http://purl.obolibrary.org/obo/FBcv_0010021>		
<http://purl.obolibrary.org/obo/FBcv_0000781>	"An allele inferred from genetic evidence to make a normal gene product at increased levels or with increased activity compared to wild-type, where this increased amount or activity is present at some temperatures (non-permissive temperatures) but not others (permissive temperatures), and where the genetic evidence consists of the observation that extra copies in the genome increase the expressivity and/or penetrance of the phenotype at the non-permissive temperatures."	
<http://purl.obolibrary.org/obo/FBcv_0005055>	"Non-functional fragment of a transcriptional activator ('driver') that includes a transcription activation domain and which can be used to reconstitute a functional transcription driver when brought together in vivo with a complementary split driver fragment that encodes a DNA-binding domain, for example by including a compatible physical interaction domain or split intein fragment in each of the complementary split driver fragments."	
<http://purl.obolibrary.org/obo/CHEBI_33366>		
<http://purl.obolibrary.org/obo/FBcv_0003010>	"Sequence change caused by a site specific recombination catalyzed by the serine recombinase phiC31 integrase that recognizes a minimal high-efficiency attP recognition site of 39 base pairs and a minimal high-efficiency attB recognition site of 34 base pairs. The attP and attB sites contain imperfect inverted repeats flanking a short recombination core (TTG) that provides directionality."	
<http://purl.obolibrary.org/obo/FBcv_0000257>	"Publication in the Icelandic language."	
<http://purl.obolibrary.org/obo/BFO_0000004>		
<http://purl.obolibrary.org/obo/FBcv_0003140>	"A biosample that is derived from one individual."	
<http://purl.obolibrary.org/obo/FBcv_0003097>	"An analysis that results from the comparison of expression profiles for different conditions to identify genes that are regulated by those conditions."	
<http://purl.obolibrary.org/obo/FBcv_0000765>	"An allele inferred to make a gene product that is antagonistic to the wild-type gene product at high temperatures (restrictive temperatures) but not at lower temperatures (permissive temperatures) from the observation that, at the non-permissive temperatures, the phenotype over a deficiency is stronger than that over a wild-type allele, which in turn is stronger than that in the presence of a duplication of the wild-type locus."	
<http://purl.obolibrary.org/obo/CHEBI_46629>		"PDBeChem:O"
<http://purl.obolibrary.org/obo/FBcv_0009022>	"Sequence that forms all or part of a transgenic locus or modified endogenous locus and which can be used to modify a gene product of interest in a defined manner."	
<http://purl.obolibrary.org/obo/FBcv_0007519>	"Phenotype that is an increase in the efficacy of short-term memory (GO:0007614) relative to controls. 'short-term memory' is defined as: 'The memory process that deals with the storage, retrieval and modification of information received a short time (up to about 30 minutes) ago. This type of memory is typically dependent on direct, transient effects of second messenger activation.'"	
<http://purl.obolibrary.org/obo/FBcv_0009030>	"Non-functional fragment of a transcriptional activator ('driver') that can be used to reconstitute a functional transcription driver when brought together in vivo with a complementary split driver fragment, where the process that brings the complementary fragments together can be regulated by binding to a small molecule, such as an ion or ligand."	
<http://purl.obolibrary.org/obo/FBcv_0000669>	"Phenotype that is any abnormality in hatching behavior (GO:0035187). 'hatching behavior' is defined as: 'The specific behavior of an organism during the emergence from an egg shell. In Drosophila for example, the larva swings its head reiteratively through a semicircular arc, using its mouth hooks to tear apart the chorion in front of it and thus free itself from within the egg shell.'"	
<http://purl.obolibrary.org/obo/FBcv_0000180>		
<http://purl.obolibrary.org/obo/FBcv_0003032>	"A project that characterizes the intraspecific variation of an organism's genome."	
<http://purl.obolibrary.org/obo/CHEBI_23704>		
<http://purl.obolibrary.org/obo/FBcv_0000753>	"An allele that makes a gene product that is functionally equivalent to wild-type but which at low temperatures is present in a lesser amount or with lowered activity, and that retains normal function at higher temperatures."	
<http://purl.obolibrary.org/obo/FBcv_0000049>	"A spatial quality inhering in a bearer by virtue of the bearer's being located toward the belly or lower surface of an organism relative to another entity."	"PATO:0001196"
<http://purl.obolibrary.org/obo/FBcv_0010020>		
<http://purl.obolibrary.org/obo/CHEBI_17792>	"A compound containing at least one carbon-halogen bond (where X is a halogen atom)."	"MetaCyc:Organohalogen-Compounds KEGG:C01322"
<http://purl.obolibrary.org/obo/CHEBI_33365>		
<http://purl.obolibrary.org/obo/CHEBI_63473>	"An aromatic amino acid whose alpha-carboxylic acid group is ionized (non-protonated)."	
<http://purl.obolibrary.org/obo/FBcv_0000684>	"Phenotype that is any abnormality in response to cold (GO:0009409). 'response to cold' is defined as: 'Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cold stimulus, a temperature stimulus below the optimal temperature for that organism.'"	
<http://purl.obolibrary.org/obo/BFO_0000003>		
<http://purl.obolibrary.org/obo/FBcv_0000574>	"An ortho- and peri-fused polycyclic arene consisting of five fused benzene rings (from CHEBI)."	
<http://purl.obolibrary.org/obo/FBcv_0000606>	"Assay method used to generate an allele."	
<http://purl.obolibrary.org/obo/FBcv_0003071>	"An assay that identifies and characterizes of proteins and their post-translational modifications by mass spectrometry."	
<http://purl.obolibrary.org/obo/FBcv_0009026>	"A combination of two or more 'split system components' that together reconstitute a functional experimental tool."	
<http://purl.obolibrary.org/obo/FBcv_0000251>	"Publication in the Flemish language."	
<http://purl.obolibrary.org/obo/FBcv_0005053>	"Sequence that forms all or part of the protein product encoded by a transgenic locus or modified endogenous locus and that encodes a catalytically inactive fragment of an enzyme whose activity can be used to detect the presence of that protein product when complementary split reporter enzyme fragments are brought together in vivo. Fragments may be brought together when fused to peptides that physically interact, permitting the study of protein-protein interactions."	
<http://purl.obolibrary.org/obo/CHEBI_33232>	"Intended use of the molecular entity or part thereof by humans."	
<http://purl.obolibrary.org/obo/CHEBI_53121>	"An antagonist at the A2A receptor."	"Wikipedia:Adenosine_A2A_receptor"
<http://purl.obolibrary.org/obo/FBcv_0000667>	"A set of related web pages containing content such as text, images, video, audio, etc., prepared and maintained as a collection of information on a particular subject."	
<http://purl.obolibrary.org/obo/FBcv_0000480>	"Sequence change caused by the cleavage of an 18 base pair DNA sequence by the I-SceI endonuclease."	
<http://purl.obolibrary.org/obo/CHEBI_64709>	"Any organic molecular entity that is acidic and contains carbon in covalent linkage."	
<http://purl.obolibrary.org/obo/CHEBI_33555>	"Organic derivatives of sulfonic acid in which the sulfo group is linked directly to carbon of an aryl group."	
<http://purl.obolibrary.org/obo/CHEBI_25213>		
<http://purl.obolibrary.org/obo/CHEBI_22718>	"A monocarboxylic acid anion obtained by deprotonation of the carboxy group of any benzoic acid."	
<http://purl.obolibrary.org/obo/FBcv_0003092>	"An analysis that results in the identification of discrete transcription start site regions."	
<http://purl.obolibrary.org/obo/CHEBI_37949>		
<http://purl.obolibrary.org/obo/FBcv_0000089>	"10-30% of egg length from the posterior tip (0%) of the egg or pre-gastrula embryo."	
<http://purl.obolibrary.org/obo/FBcv_0000125>	"50-80% of egg length from the posterior tip (0%) of the egg or pre-gastrula embryo."	
